"행정구역","2016년_총인구수","2016년_세대수","2016년_세대당 인구","2016년_남자 인구수","2016년_여자 인구수","2016년_남여 비율","2017년_총인구수","2017년_세대수","2017년_세대당 인구","2017년_남자 인구수","2017년_여자 인구수","2017년_남여 비율","2018년_총인구수","2018년_세대수","2018년_세대당 인구","2018년_남자 인구수","2018년_여자 인구수","2018년_남여 비율","2019년_총인구수","2019년_세대수","2019년_세대당 인구","2019년_남자 인구수","2019년_여자 인구수","2019년_남여 비율","2020년_총인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율","2021년_총인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율","2022년_총인구수","2022년_세대수","2022년_세대당 인구","2022년_남자 인구수","2022년_여자 인구수","2022년_남여 비율","2023년_총인구수","2023년_세대수","2023년_세대당 인구","2023년_남자 인구수","2023년_여자 인구수","2023년_남여 비율","2024년_총인구수","2024년_세대수","2024년_세대당 인구","2024년_남자 인구수","2024년_여자 인구수","2024년_남여 비율","2025년_총인구수","2025년_세대수","2025년_세대당 인구","2025년_남자 인구수","2025년_여자 인구수","2025년_남여 비율"
"경기도 성남시 수정구 복정동(4113162000)","12,241","6,891","          1.78","6,579","5,662","          1.16","12,563","7,275","          1.73","6,755","5,808","          1.16","12,105","7,043","          1.72","6,517","5,588","          1.17","11,579","6,854","          1.69","6,295","5,284","          1.19","11,123","6,752","          1.65","6,122","5,001","          1.22","10,955","6,792","          1.61","6,109","4,846","          1.26","10,722","6,728","          1.59","6,023","4,699","          1.28","10,357","6,568","          1.58","5,803","4,554","          1.27","10,192","6,576","          1.55","5,738","4,454","          1.29","10,453","6,734","          1.55","5,856","4,597","          1.27"
"경기도 성남시 수정구 위례동(4113162500)","24,206","8,473","          2.86","11,879","12,327","          0.96","40,858","14,940","          2.73","20,136","20,722","          0.97","43,776","16,397","          2.67","21,548","22,228","          0.97","45,462","17,127","          2.65","22,356","23,106","          0.97","45,425","17,459","          2.60","22,213","23,212","          0.96","45,333","17,978","          2.52","22,124","23,209","          0.95","43,465","17,412","          2.50","21,214","22,251","          0.95","44,987","18,168","          2.48","21,873","23,114","          0.95","45,787","18,849","          2.43","22,150","23,637","          0.94","45,473","18,782","          2.42","22,014","23,459","          0.94"
"경기도 성남시 수정구 신촌동(4113163000)","4,743","1,814","          2.61","2,473","2,270","          1.09","4,804","1,897","          2.53","2,518","2,286","          1.10","4,880","1,990","          2.45","2,555","2,325","          1.10","4,795","2,005","          2.39","2,514","2,281","          1.10","4,782","2,067","          2.31","2,529","2,253","          1.12","4,661","2,041","          2.28","2,480","2,181","          1.14","4,639","2,029","          2.29","2,483","2,156","          1.15","4,575","2,035","          2.25","2,427","2,148","          1.13","4,512","2,012","          2.24","2,380","2,132","          1.12","4,511","2,014","          2.24","2,392","2,119","          1.13"
"경기도 성남시 수정구 고등동(4113164000)","1,723","867","          1.99","914","809","          1.13","1,814","897","          2.02","934","880","          1.06","1,740","891","          1.95","897","843","          1.06","5,836","2,799","          2.09","2,899","2,937","          0.99","8,607","4,023","          2.14","4,266","4,341","          0.98","10,478","4,686","          2.24","5,199","5,279","          0.98","10,720","4,752","          2.26","5,296","5,424","          0.98","11,876","5,243","          2.27","5,854","6,022","          0.97","11,709","5,252","          2.23","5,733","5,976","          0.96","11,797","5,320","          2.22","5,772","6,025","          0.96"
"경기도 성남시 수정구 시흥동(4113165000)","3,229","1,386","          2.33","1,675","1,554","          1.08","3,371","1,513","          2.23","1,750","1,621","          1.08","3,419","1,591","          2.15","1,789","1,630","          1.10","3,341","1,595","          2.09","1,754","1,587","          1.11","3,264","1,703","          1.92","1,741","1,523","          1.14","3,059","1,624","          1.88","1,612","1,447","          1.11","3,368","1,949","          1.73","1,770","1,598","          1.11","3,397","2,018","          1.68","1,799","1,598","          1.13","3,399","2,040","          1.67","1,803","1,596","          1.13","3,548","2,162","          1.64","1,918","1,630","          1.18"
"경기도 경기도 성남시 중원구 (4113300000)","237,909","101,345","          2.35","120,529","117,380","          1.03","230,366","99,438","          2.32","116,610","113,756","          1.03","224,885","99,495","          2.26","113,912","110,973","          1.03","220,041","99,940","          2.20","111,444","108,597","          1.03","216,131","101,151","          2.14","109,444","106,687","          1.03","210,777","100,328","          2.10","106,772","104,005","          1.03","210,505","100,139","          2.10","106,470","104,035","          1.02","210,848","101,034","          2.09","106,515","104,333","          1.02","206,978","100,556","          2.06","104,382","102,596","          1.02","203,572","99,667","          2.04","102,424","101,148","          1.01"
"경기도 성남시 중원구 성남동(4113351000)","30,809","14,473","          2.13","15,871","14,938","          1.06","32,479","15,515","          2.09","16,708","15,771","          1.06","33,251","16,746","          1.99","17,160","16,091","          1.07","33,402","17,248","          1.94","17,271","16,131","          1.07","33,921","18,085","          1.88","17,558","16,363","          1.07","33,802","18,455","          1.83","17,605","16,197","          1.09","33,317","18,480","          1.80","17,379","15,938","          1.09","32,430","18,307","          1.77","16,989","15,441","          1.10","32,207","18,479","          1.74","16,845","15,362","          1.10","31,835","18,409","          1.73","16,612","15,223","          1.09"
"경기도 성남시 중원구 중앙동(4113352500)","17,740","8,567","          2.07","9,292","8,448","          1.10","15,726","7,619","          2.06","8,261","7,465","          1.11","14,833","7,302","          2.03","7,811","7,022","          1.11","14,454","7,246","          1.99","7,640","6,814","          1.12","14,064","7,223","          1.95","7,463","6,601","          1.13","12,093","5,940","          2.04","6,350","5,743","          1.11","16,205","7,431","          2.18","8,322","7,883","          1.06","16,925","7,676","          2.20","8,655","8,270","          1.05","16,738","7,581","          2.21","8,522","8,216","          1.04","16,585","7,518","          2.21","8,415","8,170","          1.03"
"경기도 성남시 중원구 금광1동(4113353000)","12,726","5,733","          2.22","6,668","6,058","          1.10","8,839","4,028","          2.19","4,630","4,209","          1.10","7,547","3,490","          2.16","3,919","3,628","          1.08","7,210","3,370","          2.14","3,706","3,504","          1.06","7,029","3,329","          2.11","3,621","3,408","          1.06","6,713","3,284","          2.04","3,470","3,243","          1.07","13,063","5,719","          2.28","6,615","6,448","          1.03","19,567","8,239","          2.37","9,667","9,900","          0.98","19,607","8,237","          2.38","9,615","9,992","          0.96","19,608","8,241","          2.38","9,624","9,984","          0.96"
"경기도 성남시 중원구 금광2동(4113354000)","27,958","12,303","          2.27","13,599","14,359","          0.95","26,880","11,971","          2.25","13,086","13,794","          0.95","26,217","11,858","          2.21","12,776","13,441","          0.95","25,359","11,761","          2.16","12,403","12,956","          0.96","24,649","11,795","          2.09","12,056","12,593","          0.96","25,814","12,426","          2.08","12,732","13,082","          0.97","25,399","12,396","          2.05","12,523","12,876","          0.97","24,691","12,243","          2.02","12,195","12,496","          0.98","24,117","12,145","          1.99","11,915","12,202","          0.98","23,438","11,871","          1.97","11,596","11,842","          0.98"
"경기도 성남시 중원구 은행1동(4113355000)","12,174","4,567","          2.67","6,006","6,168","          0.97","11,940","4,531","          2.64","5,894","6,046","          0.97","11,548","4,477","          2.58","5,654","5,894","          0.96","11,072","4,486","          2.47","5,386","5,686","          0.95","10,665","4,533","          2.35","5,200","5,465","          0.95","10,335","4,524","          2.28","5,081","5,254","          0.97","10,066","4,500","          2.24","4,951","5,115","          0.97","9,676","4,427","          2.19","4,763","4,913","          0.97","9,401","4,386","          2.14","4,653","4,748","          0.98","9,289","4,415","          2.10","4,576","4,713","          0.97"
"경기도 성남시 중원구 은행2동(4113356000)","27,555","11,374","          2.42","13,693","13,862","          0.99","27,152","11,351","          2.39","13,498","13,654","          0.99","26,349","11,282","          2.34","13,126","13,223","          0.99","25,350","11,137","          2.28","12,626","12,724","          0.99","24,562","11,267","          2.18","12,221","12,341","          0.99","23,824","11,185","          2.13","11,790","12,034","          0.98","23,184","11,095","          2.09","11,471","11,713","          0.98","22,175","10,898","          2.03","10,953","11,222","          0.98","21,442","10,798","          1.99","10,562","10,880","          0.97","20,978","10,704","          1.96","10,303","10,675","          0.97"
"경기도 성남시 중원구 상대원1동(4113357000)","28,311","11,992","          2.36","14,644","13,667","          1.07","27,927","11,966","          2.33","14,436","13,491","          1.07","27,345","11,998","          2.28","14,176","13,169","          1.08","26,561","12,018","          2.21","13,754","12,807","          1.07","25,874","12,062","          2.15","13,384","12,490","          1.07","25,256","12,175","          2.07","13,098","12,158","          1.08","24,950","12,208","          2.04","12,975","11,975","          1.08","24,336","12,174","          2.00","12,698","11,638","          1.09","23,768","12,146","          1.96","12,385","11,383","          1.09","22,454","11,545","          1.94","11,691","10,763","          1.09"
