"행정구역","2016년_총인구수","2016년_세대수","2016년_세대당 인구","2016년_남자 인구수","2016년_여자 인구수","2016년_남여 비율","2017년_총인구수","2017년_세대수","2017년_세대당 인구","2017년_남자 인구수","2017년_여자 인구수","2017년_남여 비율","2018년_총인구수","2018년_세대수","2018년_세대당 인구","2018년_남자 인구수","2018년_여자 인구수","2018년_남여 비율","2019년_총인구수","2019년_세대수","2019년_세대당 인구","2019년_남자 인구수","2019년_여자 인구수","2019년_남여 비율","2020년_총인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율","2021년_총인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율","2022년_총인구수","2022년_세대수","2022년_세대당 인구","2022년_남자 인구수","2022년_여자 인구수","2022년_남여 비율","2023년_총인구수","2023년_세대수","2023년_세대당 인구","2023년_남자 인구수","2023년_여자 인구수","2023년_남여 비율","2024년_총인구수","2024년_세대수","2024년_세대당 인구","2024년_남자 인구수","2024년_여자 인구수","2024년_남여 비율","2025년_총인구수","2025년_세대수","2025년_세대당 인구","2025년_남자 인구수","2025년_여자 인구수","2025년_남여 비율"
"경기도 성남시 분당구 정자1동(4113555000)","30,769","13,268","          2.32","14,579","16,190","          0.90","30,997","13,618","          2.28","14,583","16,414","          0.89","31,063","13,843","          2.24","14,600","16,463","          0.89","31,032","13,945","          2.23","14,624","16,408","          0.89","31,031","14,066","          2.21","14,589","16,442","          0.89","30,475","13,975","          2.18","14,339","16,136","          0.89","30,076","13,885","          2.17","14,195","15,881","          0.89","30,248","13,963","          2.17","14,316","15,932","          0.90","30,148","13,978","          2.16","14,296","15,852","          0.90","30,247","14,055","          2.15","14,353","15,894","          0.90"
"경기도 성남시 분당구 정자2동(4113556000)","17,626","7,732","          2.28","8,329","9,297","          0.90","17,383","7,723","          2.25","8,196","9,187","          0.89","16,923","7,750","          2.18","7,976","8,947","          0.89","16,381","7,692","          2.13","7,747","8,634","          0.90","15,954","7,661","          2.08","7,578","8,376","          0.90","15,413","7,542","          2.04","7,298","8,115","          0.90","14,910","7,424","          2.01","7,051","7,859","          0.90","14,614","7,330","          1.99","6,914","7,700","          0.90","14,277","7,261","          1.97","6,792","7,485","          0.91","14,183","7,245","          1.96","6,735","7,448","          0.90"
"경기도 성남시 분당구 정자3동(4113557000)","16,593","6,117","          2.71","7,981","8,612","          0.93","16,440","6,156","          2.67","7,904","8,536","          0.93","16,200","6,196","          2.61","7,818","8,382","          0.93","15,872","6,147","          2.58","7,675","8,197","          0.94","15,555","6,133","          2.54","7,553","8,002","          0.94","16,592","6,477","          2.56","8,045","8,547","          0.94","17,011","6,677","          2.55","8,241","8,770","          0.94","16,897","6,636","          2.55","8,131","8,766","          0.93","16,698","6,620","          2.52","7,999","8,699","          0.92","16,467","6,605","          2.49","7,923","8,544","          0.93"
"경기도 성남시 분당구 서현1동(4113558000)","32,789","12,214","          2.68","15,813","16,976","          0.93","32,742","12,331","          2.66","15,819","16,923","          0.93","32,633","12,439","          2.62","15,732","16,901","          0.93","32,592","12,612","          2.58","15,753","16,839","          0.94","32,363","12,759","          2.54","15,634","16,729","          0.93","31,856","12,746","          2.50","15,399","16,457","          0.94","31,308","12,638","          2.48","15,195","16,113","          0.94","31,021","12,584","          2.47","15,049","15,972","          0.94","30,904","12,662","          2.44","14,986","15,918","          0.94","30,649","12,678","          2.42","14,870","15,779","          0.94"
"경기도 성남시 분당구 서현2동(4113559000)","19,708","6,735","          2.93","9,671","10,037","          0.96","19,615","6,871","          2.85","9,610","10,005","          0.96","19,256","6,820","          2.82","9,430","9,826","          0.96","19,047","6,791","          2.80","9,389","9,658","          0.97","18,784","6,776","          2.77","9,261","9,523","          0.97","18,309","6,717","          2.73","9,052","9,257","          0.98","17,900","6,643","          2.69","8,841","9,059","          0.98","17,759","6,599","          2.69","8,732","9,027","          0.97","17,469","6,569","          2.66","8,624","8,845","          0.98","17,273","6,553","          2.64","8,505","8,768","          0.97"
"경기도 성남시 분당구 이매1동(4113560000)","27,394","9,118","          3.00","13,398","13,996","          0.96","27,104","9,076","          2.99","13,240","13,864","          0.95","26,805","9,086","          2.95","13,138","13,667","          0.96","26,349","9,113","          2.89","12,876","13,473","          0.96","25,960","9,113","          2.85","12,673","13,287","          0.95","25,273","9,023","          2.80","12,338","12,935","          0.95","24,931","8,977","          2.78","12,204","12,727","          0.96","24,845","9,003","          2.76","12,157","12,688","          0.96","24,794","9,038","          2.74","12,110","12,684","          0.95","24,537","9,022","          2.72","11,967","12,570","          0.95"
"경기도 성남시 분당구 이매2동(4113561000)","14,527","4,600","          3.16","7,133","7,394","          0.96","14,475","4,670","          3.10","7,118","7,357","          0.97","14,301","4,631","          3.09","7,040","7,261","          0.97","14,103","4,587","          3.07","6,923","7,180","          0.96","13,759","4,531","          3.04","6,747","7,012","          0.96","13,280","4,449","          2.98","6,471","6,809","          0.95","13,207","4,445","          2.97","6,410","6,797","          0.94","13,146","4,441","          2.96","6,383","6,763","          0.94","12,998","4,406","          2.95","6,353","6,645","          0.96","12,796","4,370","          2.93","6,270","6,526","          0.96"
"경기도 성남시 분당구 야탑1동(4113562000)","18,522","7,527","          2.46","9,078","9,444","          0.96","18,275","7,551","          2.42","8,939","9,336","          0.96","18,227","7,738","          2.36","8,929","9,298","          0.96","17,850","7,666","          2.33","8,820","9,030","          0.98","17,660","7,708","          2.29","8,752","8,908","          0.98","17,231","7,675","          2.25","8,560","8,671","          0.99","17,024","7,623","          2.23","8,414","8,610","          0.98","16,808","7,535","          2.23","8,307","8,501","          0.98","16,647","7,538","          2.21","8,219","8,428","          0.98","16,525","7,545","          2.19","8,144","8,381","          0.97"
"경기도 성남시 분당구 야탑2동(4113563000)","17,802","6,307","          2.82","8,471","9,331","          0.91","17,568","6,300","          2.79","8,408","9,160","          0.92","17,335","6,301","          2.75","8,255","9,080","          0.91","17,102","6,261","          2.73","8,108","8,994","          0.90","16,847","6,246","          2.70","8,019","8,828","          0.91","16,423","6,155","          2.67","7,818","8,605","          0.91","16,093","6,088","          2.64","7,637","8,456","          0.90","15,874","6,034","          2.63","7,495","8,379","          0.89","15,703","6,011","          2.61","7,447","8,256","          0.90","15,564","5,987","          2.60","7,394","8,170","          0.91"
"경기도 성남시 분당구 야탑3동(4113564000)","31,369","12,940","          2.42","15,437","15,932","          0.97","31,219","13,199","          2.37","15,380","15,839","          0.97","30,642","13,242","          2.31","15,122","15,520","          0.97","29,936","13,162","          2.27","14,759","15,177","          0.97","29,151","13,108","          2.22","14,375","14,776","          0.97","28,163","12,939","          2.18","13,859","14,304","          0.97","27,438","12,750","          2.15","13,532","13,906","          0.97","26,838","12,635","          2.12","13,234","13,604","          0.97","26,215","12,514","          2.09","12,881","13,334","          0.97","26,618","12,711","          2.09","13,105","13,513","          0.97"
"경기도 성남시 분당구 판교동(4113565000)","24,116","7,774","          3.10","11,810","12,306","          0.96","24,234","7,882","          3.07","11,855","12,379","          0.96","24,288","7,935","          3.06","11,902","12,386","          0.96","23,943","7,892","          3.03","11,699","12,244","          0.96","23,932","7,915","          3.02","11,718","12,214","          0.96","26,442","8,963","          2.95","12,997","13,445","          0.97","26,515","9,004","          2.94","13,058","13,457","          0.97","26,512","8,999","          2.95","13,016","13,496","          0.96","26,572","9,035","          2.94","13,045","13,527","          0.96","26,365","8,979","          2.94","12,915","13,450","          0.96"
"경기도 성남시 분당구 삼평동(4113565500)","25,864","8,631","          3.00","12,610","13,254","          0.95","25,483","8,641","          2.95","12,407","13,076","          0.95","25,305","8,780","          2.88","12,279","13,026","          0.94","24,887","8,818","          2.82","12,111","12,776","          0.95","24,930","9,133","          2.73","12,156","12,774","          0.95","24,442","9,069","          2.70","11,890","12,552","          0.95","24,229","9,110","          2.66","11,725","12,504","          0.94","23,939","9,058","          2.64","11,582","12,357","          0.94","23,777","9,083","          2.62","11,555","12,222","          0.95","23,593","9,106","          2.59","11,449","12,144","          0.94"
"경기도 성남시 분당구 백현동(4113565700)","29,521","10,109","          2.92","14,389","15,132","          0.95","29,159","10,067","          2.90","14,164","14,995","          0.94","28,729","10,187","          2.82","13,860","14,869","          0.93","28,269","10,200","          2.77","13,634","14,635","          0.93","27,710","10,220","          2.71","13,365","14,345","          0.93","26,907","10,179","          2.64","12,995","13,912","          0.93","26,988","10,340","          2.61","12,999","13,989","          0.93","26,848","10,428","          2.57","12,886","13,962","          0.92","26,472","10,466","          2.53","12,675","13,797","          0.92","26,316","10,535","          2.50","12,538","13,778","          0.91"
"경기도 성남시 분당구 금곡동(4113566200)","30,214","12,143","          2.49","14,330","15,884","          0.90","30,131","12,426","          2.42","14,228","15,903","          0.89","29,675","12,523","          2.37","14,020","15,655","          0.90","29,090","12,474","          2.33","13,690","15,400","          0.89","28,820","12,515","          2.30","13,516","15,304","          0.88","27,934","12,314","          2.27","13,115","14,819","          0.89","27,409","12,156","          2.25","12,900","14,509","          0.89","27,083","12,058","          2.25","12,786","14,297","          0.89","26,904","12,034","          2.24","12,686","14,218","          0.89","26,767","11,997","          2.23","12,591","14,176","          0.89"
"경기도 성남시 분당구 구미1동(4113566500)","18,723","7,107","          2.63","9,073","9,650","          0.94","18,575","7,160","          2.59","8,993","9,582","          0.94","18,373","7,235","          2.54","8,910","9,463","          0.94","18,104","7,256","          2.50","8,812","9,292","          0.95","17,792","7,328","          2.43","8,607","9,185","          0.94","17,173","7,288","          2.36","8,303","8,870","          0.94","16,823","7,164","          2.35","8,157","8,666","          0.94","16,495","7,101","          2.32","7,997","8,498","          0.94","16,182","7,014","          2.31","7,813","8,369","          0.93","16,089","6,937","          2.32","7,762","8,327","          0.93"
"경기도 성남시 분당구 구미동(4113567000)","33,354","13,057","          2.55","16,199","17,155","          0.94","32,971","13,052","          2.53","15,934","17,037","          0.94","32,595","13,219","          2.47","15,674","16,921","          0.93","31,909","13,192","          2.42","15,323","16,586","          0.92","31,413","13,192","          2.38","15,062","16,351","          0.92","30,543","13,183","          2.32","14,612","15,931","          0.92","30,135","13,109","          2.30","14,311","15,824","          0.90","28,673","12,576","          2.28","13,607","15,066","          0.90","28,182","12,524","          2.25","13,350","14,832","          0.90","27,981","12,636","          2.21","13,227","14,754","          0.90"
"경기도 성남시 분당구 운중동(4113568000)","21,373","7,639","          2.80","10,461","10,912","          0.96","20,845","7,411","          2.81","10,178","10,667","          0.95","21,475","7,702","          2.79","10,476","10,999","          0.95","21,305","7,675","          2.78","10,398","10,907","          0.95","21,579","7,847","          2.75","10,517","11,062","          0.95","30,891","11,083","          2.79","15,105","15,786","          0.96","33,340","11,986","          2.78","16,323","17,017","          0.96","34,556","12,562","          2.75","16,883","17,673","          0.96","37,182","13,582","          2.74","18,169","19,013","          0.96","38,266","13,960","          2.74","18,626","19,640","          0.95"
